Education,Gender,LoanAmount,Loan_ID,Loan_Status,Married,Self_Employed,Singleton,Small_Family,Large_Family,Total_Income,Debt_Income_Ratio,Very_Short_Term,Short_Term,Long_Term,Very_Long_Term,Credit_History_Bad,Credit_History_Good,Credit_History_Unknown,rural,semi_urban,urban
1,1.0,0.507959479015919,LP001002,1.0,0.0,0.0,0,0,0,0.05539354936021519,0.021472458193086505,0,0,0,1,0,1,0,0,0,1
1,1.0,0.17221418234442837,LP001003,0.0,1.0,0.0,1,0,0,0.058435355338243795,0.08174887802532457,0,0,0,1,0,1,0,1,0,0
1,1.0,0.0824891461649783,LP001005,1.0,1.0,1.0,0,0,0,0.01958319716433294,0.07764939019947835,0,0,0,1,0,1,0,0,0,1
0,1.0,0.16063675832127353,LP001006,1.0,1.0,0.0,0,0,0,0.04398049221951281,0.06941817598974194,0,0,0,1,0,1,0,0,0,1
1,1.0,0.191027496382055,LP001008,1.0,0.0,0.0,0,0,0,0.05729153573493552,0.07206896904509383,0,0,0,1,0,1,0,0,0,1
1,1.0,0.37337192474674386,LP001011,1.0,1.0,1.0,0,1,0,0.10270494482013122,0.05947186148745388,0,0,0,1,0,1,0,0,0,1
0,1.0,0.12445730824891461,LP001013,1.0,1.0,0.0,0,0,0,0.030254656979813468,0.0681502602475093,0,0,0,1,0,1,0,0,0,1
1,1.0,0.21562952243125905,LP001014,0.0,1.0,0.0,0,0,1,0.05150959048744312,0.0576630058776865,0,0,0,1,1,0,0,0,1,0
1,1.0,0.2301013024602026,LP001018,1.0,1.0,0.0,0,1,0,0.051409034917921516,0.05355711766995628,0,0,0,1,0,1,0,0,0,1
1,1.0,0.492040520984081,LP001020,0.0,1.0,0.0,1,0,0,0.2811408029362226,0.12143734003364547,0,0,0,1,0,1,0,0,1,0
1,1.0,0.08827785817655572,LP001024,1.0,1.0,0.0,0,1,0,0.03089569873551371,0.09738282233874476,0,0,0,1,0,1,0,0,0,1
1,1.0,0.1447178002894356,LP001027,1.0,1.0,0.0,0,1,0,0.03642625505920209,0.06680528372136796,0,0,0,1,0,1,0,0,0,1
1,1.0,0.276410998552822,LP001028,1.0,1.0,0.0,0,1,0,0.12238869755398576,0.09773040551370413,0,0,0,1,0,1,0,0,0,1
1,1.0,0.15195369030390737,LP001029,0.0,0.0,0.0,0,0,0,0.040863269564343,0.06940214778009296,0,0,0,1,0,1,0,1,0,0
1,1.0,0.011577424023154847,LP001030,1.0,1.0,0.0,0,1,0,0.01185298775735941,0.2600624157340448,0,1,0,0,0,1,0,0,0,1
1,1.0,0.1678726483357453,LP001032,1.0,0.0,0.0,0,0,0,0.04409361723522462,0.06638884436608432,0,0,0,1,0,1,0,0,0,1
0,1.0,0.1316931982633864,LP001034,1.0,0.0,0.0,1,0,0,0.02707458709369265,0.05938772239140889,0,0,1,0,0,0,1,0,0,1
1,0.0,0.09696092619392185,LP001036,0.0,0.0,0.0,0,0,0,0.02599361472133538,0.07905281716874331,0,0,0,1,1,0,0,0,0,1
0,1.0,0.17945007235890015,LP001038,0.0,1.0,0.0,0,0,0,0.04330174212524196,0.060896350509227065,0,0,0,1,0,1,0,1,0,0
1,1.0,0.15340086830680175,LP001041,1.0,1.0,0.0,0,0,0,0.05854848035395561,0.09224583092329457,0,0,0,0,0,1,0,0,0,1
0,1.0,0.13748191027496381,LP001043,0.0,1.0,0.0,0,0,0,0.07815681641066895,0.13188750662704826,0,0,0,1,1,0,0,0,0,1
1,1.0,0.44283646888567296,LP001046,1.0,1.0,0.0,1,0,0,0.1274290454762563,0.060930094108488084,0,0,0,1,0,1,0,0,0,1
0,1.0,0.1548480463096961,LP001047,0.0,1.0,0.0,0,0,0,0.03857563035772644,0.06501926148642301,0,0,0,1,1,0,0,0,1,0
0,1.0,0.14905933429811866,LP001050,0.0,1.0,0.0,0,1,0,0.0482666733703713,0.0809310100061823,0,0,0,1,1,0,0,1,0,0
1,1.0,0.20549927641099855,LP001052,0.0,1.0,0.0,1,0,0,0.06536112018904447,0.07482626376064257,0,0,0,1,0,0,1,0,1,0
1,1.0,0.2633863965267728,LP001066,1.0,1.0,1.0,0,0,0,0.10203876417205059,0.08649275080162029,0,0,0,1,0,1,0,0,1,0
1,1.0,0.16353111432706222,LP001068,1.0,1.0,0.0,0,0,0,0.04537570074662511,0.06986985619280096,0,0,0,1,0,1,0,0,1,0
0,1.0,0.14616497829232997,LP001073,1.0,1.0,0.0,0,1,0,0.04806556223132809,0.08230048521761937,0,0,0,1,0,1,0,0,0,1
0,1.0,0.03762662807525326,LP001086,0.0,0.0,0.0,0,0,0,0.0,0.0694662606186889,0,0,0,1,0,1,0,0,0,1
1,0.0,0.16063675832127353,LP001087,1.0,0.0,0.0,0,1,0,0.05519243822117197,0.08371533899663408,0,0,0,1,0,1,0,0,1,0
1,1.0,0.2778581765557164,LP001091,0.0,1.0,0.0,1,0,0,0.07658563563689384,0.062325812833572164,0,0,0,1,0,0,1,0,0,1
1,1.0,0.09406657018813314,LP001095,0.0,0.0,0.0,0,0,0,0.021682294678096483,0.07253847853302894,0,0,0,1,0,1,0,0,0,1
1,1.0,0.14037626628075253,LP001097,0.0,0.0,1.0,1,0,0,0.0408507001181528,0.07535980306471465,0,0,0,1,0,1,0,1,0,0
1,1.0,0.15195369030390737,LP001098,1.0,1.0,0.0,0,0,0,0.0468211870584982,0.07739938080495357,0,0,0,1,0,1,0,0,1,0
1,1.0,0.45007235890014474,LP001100,0.0,0.0,0.0,0,0,1,0.17670127454184367,0.08338676069882994,0,0,0,1,0,1,0,1,0,0
1,1.0,0.507959479015919,LP001106,1.0,1.0,0.0,0,0,0,0.03645139395158249,0.013420954212747773,0,0,0,1,0,1,0,0,0,1
1,1.0,0.1316931982633864,LP001109,0.0,1.0,0.0,0,0,0,0.021569169662384674,0.05096329539990383,0,0,0,0,1,0,0,0,0,1
1,0.0,0.19536903039073805,LP001112,1.0,1.0,0.0,0,0,0,0.046305839764699964,0.05868996099802319,0,0,0,1,0,1,0,0,1,0
1,1.0,0.2532561505065123,LP001114,1.0,0.0,0.0,0,0,0,0.12486487845345534,0.10913817013596104,0,0,0,1,0,1,0,0,0,1
0,1.0,0.14616497829232997,LP001116,1.0,0.0,0.0,0,0,0,0.049950979159858216,0.0849232831601801,0,0,0,1,0,1,0,0,1,0
1,1.0,0.10274963820549927,LP001119,0.0,0.0,0.0,0,0,0,0.027124864878453454,0.07677512421862479,0,0,0,1,0,1,0,0,0,1
