Education,Gender,LoanAmount,Loan_ID,Loan_Status,Married,Self_Employed,Singleton,Small_Family,Large_Family,Total_Income,Debt_Income_Ratio,Very_Short_Term,Short_Term,Long_Term,Very_Long_Term,Credit_History_Bad,Credit_History_Good,Credit_History_Unknown,rural,semi_urban,urban
1,1.0,0.16931982633863965,LP001002,1.0,0.0,0.0,0,0,0,0.05539354936021519,0.07112049046489417,0,0,0,1,0,1,0,0,0,1
1,1.0,0.17221418234442837,LP001003,0.0,1.0,0.0,1,0,0,0.058435355338243795,0.0733822379771404,0,0,0,1,0,1,0,1,0,0
1,1.0,0.0824891461649783,LP001005,1.0,1.0,1.0,0,0,0,0.01958319716433294,0.06924539769051306,0,0,0,1,0,1,0,0,0,1
0,1.0,0.16063675832127353,LP001006,1.0,1.0,0.0,0,0,0,0.04398049221951281,0.06093918481777011,0,0,0,1,0,1,0,0,0,1
1,1.0,0.191027496382055,LP001008,1.0,0.0,0.0,0,0,0,0.05729153573493552,0.06361413055946848,0,0,0,1,0,1,0,0,0,1
1,1.0,0.37337192474674386,LP001011,1.0,1.0,1.0,0,1,0,0.10270494482013122,0.05090224452559167,0,0,0,1,0,1,0,0,0,1
0,1.0,0.12445730824891461,LP001013,1.0,1.0,0.0,0,0,0,0.030254656979813468,0.05965971646822469,0,0,0,1,0,1,0,0,0,1
1,1.0,0.21562952243125905,LP001014,0.0,1.0,0.0,0,0,1,0.05150959048744312,0.049076907537883234,0,0,0,1,1,0,0,0,1,0
1,1.0,0.2301013024602026,LP001018,1.0,1.0,0.0,0,1,0,0.051409034917921516,0.04493360855232756,0,0,0,1,0,1,0,0,0,1
1,1.0,0.492040520984081,LP001020,0.0,1.0,0.0,1,0,0,0.2811408029362226,0.11343232118879353,0,0,0,1,0,1,0,0,1,0
1,1.0,0.08827785817655572,LP001024,1.0,1.0,0.0,0,1,0,0.03089569873551371,0.08915863088819742,0,0,0,1,0,1,0,0,0,1
1,1.0,0.1447178002894356,LP001027,1.0,1.0,0.0,0,1,0,0.03642625505920209,0.058302485195861765,0,0,0,1,0,1,0,0,0,1
1,1.0,0.276410998552822,LP001028,1.0,1.0,0.0,0,1,0,0.12238869755398576,0.08950938106534398,0,0,0,1,0,1,0,0,0,1
1,1.0,0.15195369030390737,LP001029,0.0,0.0,0.0,0,0,0,0.040863269564343,0.060923010567177055,0,0,0,1,0,1,0,1,0,0
1,1.0,0.011577424023154847,LP001030,1.0,1.0,0.0,0,1,0,0.01185298775735941,0.25332047850410383,0,1,0,0,0,1,0,0,0,1
1,1.0,0.1678726483357453,LP001032,1.0,0.0,0.0,0,0,0,0.04409361723522462,0.057882251455682564,0,0,0,1,0,1,0,0,0,1
0,1.0,0.1316931982633864,LP001034,1.0,0.0,0.0,1,0,0,0.02707458709369265,0.05081733879663576,0,0,1,0,0,0,1,0,0,1
1,0.0,0.09696092619392185,LP001036,0.0,0.0,0.0,0,0,0,0.02599361472133538,0.07066161197689069,0,0,0,1,1,0,0,0,0,1
0,1.0,0.17945007235890015,LP001038,0.0,1.0,0.0,0,0,0,0.04330174212524196,0.05233971277125313,0,0,0,1,0,1,0,1,0,0
1,1.0,0.15340086830680175,LP001041,1.0,1.0,0.0,0,0,0,0.05854848035395561,0.08397483380371493,0,0,0,0,0,1,0,0,0,1
